小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2023-08-18,2001-07-18,满五年,无抵押,商品房,普通住宅,非共有,23,一年前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107107815001.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,230.0,47277,48.65,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
宜川三村,南,简装,,平层,板楼,钢混结构,无电梯,无,2024-05-29,2023-10-31,未满两年,无抵押,商品房,普通住宅,共有,43,10个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107109847967.html,中楼层,7,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,255.0,44348,57.5,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
平江盛世家园,北,简装,,平层,塔楼,钢混结构,两梯八户,有,2025-03-09,2019-08-22,满五年,无抵押,商品房,普通住宅,非共有,35,1个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107112241300.html,低楼层,27,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,280.0,45648,61.34,上海市普陀甘泉宜川平江盛世家园,31.256276,121.448567
和丰苑,南,精装,,平层,板楼,钢混结构,两梯十二户,有,2024-11-16,2020-06-17,满两年,无抵押,动迁安置房,普通住宅,非共有,104,5个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111351787.html,中楼层,22,普陀,甘泉宜川,中环至外环,2室1厅,1厨1卫,470.0,72131,65.16,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
龚家宅,南 北,精装,,平层,板楼,砖混结构,无电梯,无,2025-02-25,2004-05-21,满五年,无抵押,商品房,普通住宅,共有,44,2个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112111570.html,低楼层,6,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,218.0,42813,50.92,上海市普陀甘泉宜川龚家宅,31.259873,121.443961
中远两湾城,南,简装,,平层,板楼,钢混结构,四梯八户,有,2023-09-01,2007-07-31,满五年,无抵押,商品房,普通住宅,非共有,153,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107107922224.html,中楼层,34,普陀,中远两湾城,内环内,2室2厅,1厨1卫,768.0,79537,96.56,上海市普陀中远两湾城中远两湾城,31.252108,121.442988
中远两湾城,西南,精装,,平层,板楼,钢混结构,两梯五户,有,2024-08-28,2001-12-10,满五年,无抵押,商品房,普通住宅,共有,35,7个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110657835.html,低楼层,33,普陀,中远两湾城,内环内,2室2厅,1厨1卫,820.0,79597,103.02,上海市普陀中远两湾城中远两湾城,31.252108,121.442988
宝钢公寓,南,精装,,平层,塔楼,钢混结构,两梯六户,有,2023-04-25,2021-06-05,满两年,有抵押,商品房,普通住宅,非共有,14,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107106989990.html,低楼层,26,普陀,光新,内环至中环,2室1厅,1厨1卫,750.0,71833,104.41,上海市普陀光新宝钢公寓,31.254064,121.435343
月亮湾,南,精装,,平层,板楼,钢混结构,两梯三户,有,2024-04-01,2006-08-26,满五年,无抵押,商品房,普通住宅,非共有,32,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109400646.html,中楼层,26,普陀,光新,内环至中环,2室2厅,1厨1卫,735.0,73840,99.54,上海市普陀光新月亮湾,31.254696,121.432897
中远两湾城,南 北,精装,,平层,板楼,钢混结构,两梯四户,有,2025-03-06,2006-10-18,满五年,无抵押,商品房,普通住宅,非共有,12,1个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112209274.html,高楼层,34,普陀,中远两湾城,内环内,2室2厅,1厨2卫,780.0,79245,98.43,上海市普陀中远两湾城中远两湾城,31.252108,121.442988
